id_cliente;nome_sobrenome;nome;sobrenome;email;sexo;idade;cidade_cliente_nome;profissao_nome;modalidade;altura;peso;tipo_roteiro_nome;cidade_inicio;dias_roteiro;etapas_roteiro;data_inicio_roteiro;data_final_roteiro;valor_orcado;valor_real;Coluna1;tipo_hospedagem;acompanhantes;transporte_inicio;transporte_final;transporte_mochila;tour_santiago;motivacao
92;ROSALY BARBOSA CIPRIANO ROOST;ROSALY;ROOST;roost.rosaly@hotmail.com;Male;27;Campinas;Vendedor;grupo;1,93;102,7;A pe;Astorga;17;12;16/08/2019;02/09/2019;2440;0,98;2393,85;Superior;4;sim;sim;não;não;Cultural
93;Maria Helena Araújo Machado;Maria;Machado;mariamachado15@outlook.com;Male;67;Salvador;Técnico de informática;autoguiado;1,62;73,1;A pe;Astorga;17;12;30/04/2026;17/05/2026;1906;1,24;2361,59;Standard;3;sim;sim;sim;sim;Cultural
101;Laurindo Filipini Filho;Laurindo;Filho;filho.laurindo@gmail.com;Female;59;Fortaleza;Vendedor;guiado;1,77;85,2;A pe;Astorga;17;12;14/07/2023;31/07/2023;2034;1,34;2721,26;Standard;3;sim;sim;sim;sim;Cultural
115;8. Beatriz Pereira;Beatriz;Pereira;beatrizpereira18@outlook.com;Female;34;São Paulo;Professor;autoguiado;2,04;103,0;A pe;Astorga;17;12;18/12/2026;04/01/2027;2335;1,14;2671,78;Standard;7;sim;sim;sim;sim;Espiritual
117;10. Camila Gomes;Camila;Gomes;camila_gomes@hotmail.com;Female;70;São Paulo;Enfermeiro;grupo;1,92;93,1;A pe;Astorga;17;12;12/07/2025;29/07/2025;1815;1,25;2268,74;Standard;3;sim;sim;sim;sim;Aventura
120;13. Felipe Carvalho;Felipe;Carvalho;felipecarvalho12@outlook.com;Female;68;Fortaleza;Vendedor;autoguiado;2,06;109,6;A pe;Astorga;17;12;05/06/2017;22/06/2017;2219;0,99;2189,09;Standard;2;sim;sim;sim;sim;Espiritual
122;15. Eduardo Dias;Eduardo;Dias;eduardo_dias@yahoo.com;Female;30;São Paulo;Cientista de dados;autoguiado;2,05;104,9;A pe;Astorga;17;12;09/08/2024;26/08/2024;2461;1,14;2800,50;Standard;9;sim;sim;sim;sim;Espiritual
123;16. Patricia Teixeira;Patricia;Teixeira;patricia.teixeira@gmail.com;Female;36;Manaus;Contador;guiado;1,83;75,6;A pe;Astorga;17;12;19/11/2023;06/12/2023;2205;0,98;2165,27;Standard;3;sim;sim;sim;sim;Auto-conhecimento
134;27. Diego Moura;Diego;Moura;diego_moura@outlook.com;Male;60;São Gonçalo;Vendedor;guiado;2,00;91,9;A pe;Astorga;17;12;21/01/2019;07/02/2019;1998;1,29;2578,13;Superior;1;sim;sim;sim;sim;Espiritual
144;37. Daniel Pires;Daniel;Pires;daniel_pires@outlook.com;Male;39;Manaus;Advogado;guiado;1,79;89,6;A pe;Astorga;17;12;13/11/2026;30/11/2026;2238;1,01;2254,93;Superior;3;não;sim;sim;sim;Aventura
145;38. Roberta Coelho;Roberta;Coelho;roberta_coelho@hotmail.com;Male;35;Recife;Nutricionista;autoguiado;2,06;97,0;A pe;Astorga;17;12;15/09/2019;02/10/2019;2068;1,11;2286,45;Superior;3;sim;sim;não;sim;Espiritual
146;39. Alexandre Mello;Alexandre;Mello;alexandre.mello@gmail.com;Male;67;Brasília;Vendedor;guiado;1,97;85,8;A pe;Astorga;17;12;18/05/2022;04/06/2022;2123;0,98;2080,67;Standard;8;sim;sim;sim;não;Aventura
156;49. Renato Dantas;Renato;Dantas;renato.dantas@yahoo.com;Male;23;Porto Alegre;Atendente;autoguiado;1,83;80,0;A pe;Astorga;17;12;06/07/2023;23/07/2023;2485;1,03;2558,83;Standard;7;sim;sim;sim;sim;Aventura
168;61. Fabio Pacheco;Fabio;Pacheco;fabiopacheco85@hotmail.com;Male;40;São Paulo;Motorista;grupo;1,65;61,2;A pe;Astorga;17;12;17/04/2022;04/05/2022;2450;1,35;3300,18;Superior;8;sim;sim;sim;sim;Aventura
183;76. Danilo Gusmão;Danilo;Gusmão;danilogusmão96@yahoo.com;Female;25;Salvador;Enfermeiro;guiado;1,69;76,8;A pe;Astorga;17;12;20/01/2020;06/02/2020;2223;1,24;2759,95;Superior;7;sim;sim;sim;sim;Auto-conhecimento
188;81. Luciano Barros;Luciano;Barros;barros.luciano@gmail.com;Genderqueer;29;Curitiba;Economista;autoguiado;1,96;97,2;A pe;Astorga;17;12;22/01/2022;08/02/2022;1875;1,11;2073,46;Standard;2;sim;sim;sim;não;Espiritual
189;82. Cristiano Maia;Cristiano;Maia;cristiano.maia@gmail.com;Male;60;Duque de Caxias;Nutricionista;guiado;1,85;82,7;A pe;Astorga;17;12;18/09/2023;05/10/2023;2469;1,11;2734,61;Superior;6;sim;sim;sim;sim;Cultural
201;94. Paula Couto;Paula;Couto;paulacouto33@gmail.com;Female;60;São Paulo;Astrônomo;grupo;1,79;85,5;A pe;Astorga;17;12;23/06/2018;10/07/2018;1888;1,00;1884,91;Superior;8;sim;sim;sim;sim;Aventura
202;95. Erika Linhares;Erika;Linhares;erika.linhares@hotmail.com;Male;70;Rio de Janeiro;Vendedor;autoguiado;2,04;94,1;A pe;Astorga;17;12;08/08/2025;25/08/2025;2348;0,99;2318,44;Standard;10;sim;não;sim;sim;Espiritual
208;101. Diego Andrade;Diego;Andrade;diego.andrade@yahoo.com;Male;42;Goiânia;Professor;guiado;1,87;86,1;A pe;Astorga;17;12;23/02/2019;12/03/2019;1811;1,21;2198,76;Standard;6;sim;sim;sim;sim;Auto-conhecimento
225;118. Renata Andrade;Renata;Andrade;renata_andrade@hotmail.com;Female;41;Curitiba;Professor;autoguiado;2,09;96,1;A pe;Astorga;17;12;18/04/2023;05/05/2023;1980;1,16;2290,16;Superior;6;sim;sim;sim;sim;Espiritual
227;120. Daniela Andrade;Daniela;Andrade;danielaandrade19@gmail.com;Male;68;Goiânia;Atendente;autoguiado;1,97;85,7;A pe;Astorga;17;12;09/05/2018;26/05/2018;1934;1,20;2321,50;Standard;9;não;sim;sim;sim;Aventura
230;123. Lucas Fernandes;Lucas;Fernandes;lucasfernandes84@outlook.com;Genderqueer;56;Porto Alegre;Arquiteto;guiado;1,74;71,5;A pe;Astorga;17;12;09/02/2024;26/02/2024;2439;1,25;3049,70;Standard;3;sim;sim;sim;sim;Aventura
241;134. Larissa Fernandes;Larissa;Fernandes;larissafernandes90@gmail.com;Female;52;Manaus;Farmacêutico;guiado;2,00;102,6;A pe;Astorga;17;12;01/06/2021;18/06/2021;2084;1,27;2637,64;Standard;7;sim;sim;sim;sim;Auto-conhecimento
254;147. Bruno Barbosa;Bruno;Barbosa;barbosa.bruno@outlook.com;Female;55;Salvador;Professor;autoguiado;2,01;106,0;A pe;Astorga;17;12;21/03/2025;07/04/2025;2039;1,17;2389,67;Superior;1;sim;sim;sim;sim;Aventura
256;149. Gustavo Barbosa;Gustavo;Barbosa;gustavo_barbosa@hotmail.com;Male;38;Manaus;Vendedor;grupo;2,08;119,1;A pe;Astorga;17;12;26/10/2022;12/11/2022;1962;1,23;2417,79;Superior;2;sim;sim;sim;sim;Auto-conhecimento
272;165. Gabriel Ribeiro;Gabriel;Ribeiro;gabrielribeiro47@hotmail.com;Male;30;São Luís;Designer;grupo;1,93;103,7;A pe;Astorga;17;12;19/01/2021;05/02/2021;2371;1,00;2360,20;Superior;5;sim;sim;sim;sim;Cultural
273;166. Felipe Ribeiro;Felipe;Ribeiro;feliperibeiro43@outlook.com;Female;35;Rio de Janeiro;Auxiliar administrativo;grupo;1,80;88,5;A pe;Astorga;17;12;25/01/2025;11/02/2025;1915;1,07;2048,76;Superior;4;sim;sim;sim;sim;Auto-conhecimento
275;168. Daniel Ribeiro;Daniel;Ribeiro;daniel.ribeiro@hotmail.com;Female;62;Jaboatão;Enfermeiro;autoguiado;1,91;80,6;A pe;Astorga;17;12;07/04/2022;24/04/2022;1924;1,03;1983,71;Superior;7;sim;sim;sim;sim;Auto-conhecimento
282;175. Amanda Ribeiro;Amanda;Ribeiro;ribeiro.amanda@hotmail.com;Female;59;Campo Grande;Motorista;guiado;1,81;87,1;A pe;Astorga;17;12;16/10/2022;02/11/2022;2358;1,24;2912,85;Standard;5;sim;sim;sim;sim;Auto-conhecimento
288;181. João Carvalho;João;Carvalho;joão.carvalho@yahoo.com;Genderfluid;48;Jaboatão;Vendedor;guiado;2,06;103,6;A pe;Astorga;17;12;24/07/2023;10/08/2023;1833;1,07;1956,03;Standard;7;sim;sim;sim;sim;Espiritual
296;189. Gustavo Carvalho;Gustavo;Carvalho;gustavocarvalho23@gmail.com;Male;35;Belo Horizonte;Psicólogo;guiado;1,75;74,8;A pe;Astorga;17;12;10/07/2021;27/07/2021;2172;1,13;2449,84;Standard;3;sim;sim;não;sim;Auto-conhecimento
307;200. Daniela Carvalho;Daniela;Carvalho;daniela.carvalho@outlook.com;Male;40;Recife;Motorista;autoguiado;2,03;99,6;A pe;Astorga;17;12;17/08/2026;03/09/2026;2080;0,98;2045,13;Standard;10;sim;não;sim;sim;Cultural
309;202. Pedro Teixeira;Pedro;Teixeira;pedro.teixeira@outlook.com;Female;50;Brasília;Auxiliar administrativo;guiado;1,72;75,5;A pe;Astorga;17;12;12/02/2024;29/02/2024;1843;1,19;2190,73;Superior;8;sim;sim;sim;sim;Espiritual
315;208. Daniel Teixeira;Daniel;Teixeira;daniel.teixeira@outlook.com;Male;67;Porto Alegre;Enfermeiro;grupo;2,05;115,3;A pe;Astorga;17;12;22/01/2017;08/02/2017;2401;1,04;2498,77;Standard;1;sim;sim;não;sim;Aventura
321;214. Larissa Teixeira;Larissa;Teixeira;larissa_teixeira@outlook.com;Female;72;Goiânia;Vendedor;guiado;1,87;91,8;A pe;Astorga;17;12;27/11/2024;14/12/2024;2277;1,14;2591,68;Standard;5;sim;sim;sim;sim;Aventura
337;230. André Lopes;André;Lopes;lopes.andré@yahoo.com;Male;51;São Paulo;Atendente;grupo;2,00;107,1;A pe;Astorga;17;12;09/07/2017;26/07/2017;2086;0,99;2058,77;Standard;9;sim;sim;sim;sim;Cultural
339;232. Juliana Lopes;Juliana;Lopes;julianalopes39@hotmail.com;Female;24;Manaus;Motorista;autoguiado;1,97;92,2;A pe;Astorga;17;12;28/01/2021;14/02/2021;2329;1,02;2376,49;Standard;3;sim;sim;sim;não;Cultural
343;236. Beatriz Lopes;Beatriz;Lopes;beatriz_lopes@gmail.com;Male;54;Guarulhos;Enfermeiro;autoguiado;1,82;90,8;A pe;Astorga;17;12;01/03/2026;18/03/2026;1817;1,33;2411,21;Standard;9;sim;sim;sim;sim;Cultural
349;242. Pedro Castro;Pedro;Castro;castro.pedro@yahoo.com;Female;46;Campinas;Engenheiro;guiado;1,62;58,4;A pe;Astorga;17;12;25/08/2022;11/09/2022;2091;1,33;2772,83;Standard;6;sim;sim;sim;sim;Aventura
354;247. Bruno Castro;Bruno;Castro;bruno_castro@gmail.com;Agender;41;Belo Horizonte;Professor;autoguiado;2,01;102,1;A pe;Astorga;17;12;27/12/2019;13/01/2020;2172;1,23;2664,72;Standard;7;sim;sim;sim;sim;Auto-conhecimento
357;250. André Castro;André;Castro;andrécastro63@hotmail.com;Male;59;Curitiba;Analista de dados;grupo;2,07;115,4;A pe;Astorga;17;12;11/10/2024;28/10/2024;2195;1,19;2619,84;Superior;4;não;sim;sim;sim;Auto-conhecimento
363;256. Beatriz Castro;Beatriz;Castro;beatrizcastro67@gmail.com;Female;68;São Paulo;Atendente;grupo;1,89;92,9;A pe;Astorga;17;12;21/09/2023;08/10/2023;1803;1,27;2298,64;Superior;5;sim;sim;sim;sim;Espiritual
373;266. Felipe Rocha;Felipe;Rocha;felipe_rocha@hotmail.com;Male;57;Salvador;Professor;grupo;1,88;90,7;A pe;Astorga;17;12;02/06/2021;19/06/2021;2308;1,20;2776,88;Superior;3;sim;sim;sim;sim;Auto-conhecimento
378;271. Mariana Rocha;Mariana;Rocha;rocha.mariana@yahoo.com;Male;26;Manaus;Técnico de informática;guiado;1,60;62,5;A pe;Astorga;17;12;11/04/2026;28/04/2026;2150;1,16;2496,41;Standard;4;sim;sim;sim;sim;Cultural
380;273. Camila Rocha;Camila;Rocha;camila.rocha@hotmail.com;Female;59;Porto Alegre;Atendente;autoguiado;1,70;74,8;A pe;Astorga;17;12;24/11/2019;11/12/2019;2053;1,32;2711,75;Standard;7;sim;sim;sim;sim;Espiritual
390;283. Lucas Mendes;Lucas;Mendes;lucasmendes26@yahoo.com;Male;23;Teresina;Enfermeiro;guiado;1,89;91,6;A pe;Astorga;17;12;20/01/2021;06/02/2021;1916;1,00;1915,77;Superior;7;sim;sim;sim;sim;Auto-conhecimento
410;303. Lucas Freitas;Lucas;Freitas;lucasfreitas83@outlook.com;Female;58;Manaus;Farmacêutico;grupo;1,90;96,2;A pe;Astorga;17;12;19/02/2026;08/03/2026;2385;1,00;2379,56;Standard;10;sim;sim;sim;sim;Auto-conhecimento
427;320. Daniela Freitas;Daniela;Freitas;daniela.freitas@outlook.com;Female;39;Natal;Atendente;autoguiado;1,92;103,1;A pe;Astorga;17;12;30/09/2018;17/10/2018;2382;0,98;2336,67;Standard;9;sim;sim;sim;sim;Aventura
429;322. Pedro Duarte;Pedro;Duarte;pedro_duarte@outlook.com;Female;67;Salvador;Enfermeiro;guiado;1,94;98,6;A pe;Astorga;17;12;20/07/2020;06/08/2020;2412;1,00;2417,71;Superior;2;sim;sim;não;sim;Cultural
430;323. Lucas Duarte;Lucas;Duarte;duarte.lucas@outlook.com;Female;59;Rio de Janeiro;Auxiliar administrativo;guiado;1,61;58,2;A pe;Astorga;17;12;08/12/2024;25/12/2024;1879;0,99;1852,93;Superior;7;sim;sim;sim;sim;Cultural
433;326. Felipe Duarte;Felipe;Duarte;felipe.duarte@outlook.com;Female;41;São Paulo;Engenheiro;guiado;1,81;87,7;A pe;Astorga;17;12;09/07/2023;26/07/2023;2356;0,98;2319,72;Standard;1;sim;não;sim;sim;Cultural
441;334. Larissa Duarte;Larissa;Duarte;duarte.larissa@outlook.com;Male;33;São Luís;Enfermeiro;autoguiado;1,86;90,8;A pe;Astorga;17;12;05/02/2021;22/02/2021;2226;0,98;2189,09;Superior;9;sim;sim;sim;sim;Auto-conhecimento
451;344. Rafael Moreira;Rafael;Moreira;rafael_moreira@hotmail.com;Bigender;49;São Paulo;Analista de dados;guiado;1,70;74,8;A pe;Astorga;17;12;12/08/2018;29/08/2018;2022;1,24;2512,76;Standard;6;sim;sim;sim;sim;Cultural
470;363. Lucas Barros;Lucas;Barros;lucas.barros@outlook.com;Male;55;Rio de Janeiro;Médico;autoguiado;1,69;64,7;A pe;Astorga;17;12;01/06/2024;18/06/2024;2066;1,18;2444,05;Standard;2;sim;sim;sim;sim;Cultural
477;370. André Barros;André;Barros;andré_barros@gmail.com;Male;30;Guarulhos;Professor;guiado;2,01;101,5;A pe;Astorga;17;12;01/09/2020;18/09/2020;2134;1,32;2821,58;Standard;7;não;sim;não;sim;Aventura
484;377. Fernanda Barros;Fernanda;Barros;fernanda_barros@hotmail.com;Male;28;Manaus;Engenheiro;guiado;1,61;71,5;A pe;Astorga;17;12;30/03/2017;16/04/2017;1898;1,19;2257,20;Superior;8;sim;sim;sim;sim;Cultural
486;379. Patricia Barros;Patricia;Barros;patriciabarros23@yahoo.com;Female;36;Fortaleza;Professor;autoguiado;1,92;97,5;A pe;Astorga;17;12;08/03/2023;25/03/2023;2309;1,34;3095,74;Superior;10;sim;sim;sim;sim;Cultural
490;383. Lucas Tavares;Lucas;Tavares;lucas.tavares@hotmail.com;Female;64;Duque de Caxias;Atendente;guiado;1,79;76,2;A pe;Astorga;17;12;15/05/2025;01/06/2025;1841;1,17;2149,32;Standard;6;sim;sim;sim;sim;Espiritual
499;392. Juliana Tavares;Juliana;Tavares;julianatavares37@hotmail.com;Female;42;Porto Alegre;Farmacêutico;guiado;1,86;91,6;A pe;Astorga;17;12;04/05/2023;21/05/2023;2474;1,15;2847,47;Standard;3;sim;sim;sim;sim;Aventura
525;418. Renata Cardoso;Renata;Cardoso;renatacardoso40@gmail.com;Male;22;Guarulhos;Médico;autoguiado;1,65;71,9;A pe;Astorga;17;12;13/07/2022;30/07/2022;2399;1,14;2729,45;Standard;8;não;sim;sim;sim;Espiritual
529;422. Pedro Batista;Pedro;Batista;pedro_batista@yahoo.com;Female;34;Brasília;Engenheiro;guiado;1,79;73,1;A pe;Astorga;17;12;03/05/2025;20/05/2025;1957;1,11;2165,91;Standard;6;sim;sim;sim;sim;Espiritual
535;428. Daniel Batista;Daniel;Batista;batista.daniel@yahoo.com;Male;44;Rio de Janeiro;Professor;autoguiado;1,91;96,2;A pe;Astorga;17;12;23/01/2024;09/02/2024;1808;0,99;1798,80;Standard;10;sim;sim;sim;sim;Auto-conhecimento
537;430. André Batista;André;Batista;batista.andré@yahoo.com;Male;28;Salvador;Nutricionista;autoguiado;1,98;104,9;A pe;Astorga;17;12;29/05/2018;15/06/2018;1976;1,27;2515,06;Superior;1;não;sim;sim;sim;Espiritual
551;444. Rafael Nogueira;Rafael;Nogueira;nogueira.rafael@yahoo.com;Female;24;Guarulhos;Vendedor;autoguiado;1,90;84,1;A pe;Astorga;17;12;31/12/2018;17/01/2019;1903;1,28;2433,10;Superior;9;sim;sim;sim;sim;Auto-conhecimento
556;449. Gustavo Nogueira;Gustavo;Nogueira;nogueira.gustavo@gmail.com;Agender;53;São Paulo;Advogado;autoguiado;1,78;82,8;A pe;Astorga;17;12;13/01/2026;30/01/2026;1964;1,20;2352,81;Standard;1;sim;sim;sim;sim;Aventura
557;450. André Nogueira;André;Nogueira;andré.nogueira@yahoo.com;Female;31;Guarulhos;Designer;autoguiado;1,87;80,6;A pe;Astorga;17;12;17/04/2020;04/05/2020;2461;1,29;3166,74;Superior;1;sim;não;sim;sim;Espiritual
568;461. João Figueiredo;João;Figueiredo;joão_figueiredo@outlook.com;Bigender;30;Belém;Atendente;autoguiado;1,95;85,9;A pe;Astorga;17;12;11/08/2022;28/08/2022;2479;1,12;2782,81;Standard;7;sim;não;sim;sim;Aventura
574;467. Bruno Figueiredo;Bruno;Figueiredo;bruno.figueiredo@yahoo.com;Polygender;64;Salvador;Vendedor;autoguiado;2,04;109,3;A pe;Astorga;17;12;08/11/2018;25/11/2018;2468;1,31;3229,49;Superior;9;sim;sim;sim;sim;Espiritual
579;472. Juliana Figueiredo;Juliana;Figueiredo;juliana_figueiredo@outlook.com;Female;54;Teresina;Professor;autoguiado;1,66;74,2;A pe;Astorga;17;12;04/04/2017;21/04/2017;1806;1,05;1895,22;Standard;4;sim;sim;sim;sim;Aventura
584;477. Fernanda Figueiredo;Fernanda;Figueiredo;fernanda.figueiredo@outlook.com;Male;61;São Paulo;Pesquisador;guiado;2,02;109,6;A pe;Astorga;17;12;02/10/2025;19/10/2025;2022;1,22;2457,97;Superior;4;sim;sim;sim;sim;Aventura
587;480. Daniela Figueiredo;Daniela;Figueiredo;danielafigueiredo39@yahoo.com;Male;72;Salvador;Professor;grupo;1,74;78,1;A pe;Astorga;17;12;13/05/2023;30/05/2023;2179;1,10;2387,66;Standard;7;sim;sim;sim;sim;Aventura
591;484. Rafael Cavalheiro;Rafael;Cavalheiro;cavalheiro.rafael@gmail.com;Male;57;Fortaleza;Vendedor;autoguiado;1,89;88,3;A pe;Astorga;17;12;14/04/2019;01/05/2019;2052;1,08;2215,02;Superior;2;sim;sim;sim;sim;Auto-conhecimento
592;485. Gabriel Cavalheiro;Gabriel;Cavalheiro;gabriel_cavalheiro@yahoo.com;Female;35;Belém;Atendente;grupo;1,87;78,5;A pe;Astorga;17;12;23/06/2019;10/07/2019;1995;0,98;1961,07;Standard;10;sim;sim;sim;sim;Espiritual
602;495. Amanda Cavalheiro;Amanda;Cavalheiro;amanda.cavalheiro@outlook.com;Female;72;Rio de Janeiro;Atendente;autoguiado;1,92;95,3;A pe;Astorga;17;12;14/11/2018;01/12/2018;1887;1,29;2425,57;Standard;7;sim;não;sim;sim;Espiritual
605;498. Renata Cavalheiro;Renata;Cavalheiro;renatacavalheiro10@hotmail.com;Agender;44;Fortaleza;Motorista;guiado;1,93;82,0;A pe;Astorga;17;12;08/08/2026;25/08/2026;2043;1,13;2310,21;Standard;2;sim;sim;sim;sim;Auto-conhecimento
608;João Silva;João;Silva;joão_silva@gmail.com;Female;42;São Bernardo;Engenheiro;guiado;2,04;102,1;A pe;Astorga;17;12;13/09/2023;30/09/2023;2365;1,07;2522,11;Standard;4;não;não;sim;não;Aventura
619;Fernanda Martins;Fernanda;Martins;fernanda.martins@hotmail.com;Male;51;Manaus;Enfermeiro;autoguiado;1,97;101,6;A pe;Astorga;17;12;29/08/2017;15/09/2017;2364;1,00;2354,12;Standard;2;sim;sim;sim;sim;Auto-conhecimento
626;Rodrigo Correia;Rodrigo;Correia;correia.rodrigo@hotmail.com;Female;54;São Paulo;Engenheiro;autoguiado;1,67;65,8;A pe;Astorga;17;12;25/06/2024;12/07/2024;2204;1,06;2343,71;Standard;6;sim;sim;sim;sim;Cultural
627;Vanessa Moreira;Vanessa;Moreira;moreira.vanessa@outlook.com;Male;55;Salvador;Advogado;guiado;2,04;105,8;A pe;Astorga;17;12;25/09/2019;12/10/2019;2128;0,99;2113,61;Standard;8;sim;sim;sim;sim;Auto-conhecimento
629;Aline Cardoso;Aline;Cardoso;cardoso.aline@hotmail.com;Non-binary;40;Belo Horizonte;Advogado;guiado;1,82;80,4;A pe;Astorga;17;12;31/01/2019;17/02/2019;2364;1,00;2362,97;Standard;1;sim;sim;sim;sim;Cultural
634;Diego Moura;Diego;Moura;moura.diego@gmail.com;Male;40;Rio de Janeiro;Vendedor;guiado;1,76;79,9;A pe;Astorga;17;12;06/04/2019;23/04/2019;2169;0,98;2131,85;Superior;2;sim;sim;sim;sim;Espiritual
654;Paulo Bastos;Paulo;Bastos;paulo.bastos@hotmail.com;Female;60;São Gonçalo;Cientista de dados;autoguiado;1,74;81,0;A pe;Astorga;17;12;08/09/2018;25/09/2018;2337;1,01;2362,56;Superior;1;sim;sim;sim;sim;Cultural
662;Alan Franco;Alan;Franco;alan_franco@gmail.com;Male;51;Rio de Janeiro;Médico;autoguiado;2,09;113,9;A pe;Astorga;17;12;15/08/2017;01/09/2017;2246;0,99;2231,71;Standard;6;sim;sim;sim;sim;Auto-conhecimento
664;Caio Rezende;Caio;Rezende;caiorezende97@outlook.com;Male;35;Campinas;Auxiliar administrativo;guiado;1,81;77,5;A pe;Astorga;17;12;10/01/2026;27/01/2026;2476;1,29;3184,56;Standard;6;sim;sim;sim;sim;Auto-conhecimento
669;Silvana Brandão;Silvana;Brandão;silvana.brandão@yahoo.com;Female;63;São Paulo;Atendente;autoguiado;1,68;73,4;A pe;Astorga;17;12;18/02/2023;07/03/2023;2030;1,07;2170,15;Standard;6;sim;sim;sim;não;Cultural
676;Douglas Braga;Douglas;Braga;douglasbraga76@yahoo.com;Male;66;Goiânia;Professor;grupo;2,05;116,8;A pe;Astorga;17;12;22/02/2019;11/03/2019;2110;1,27;2682,84;Standard;10;sim;sim;sim;sim;Cultural
682;Marcos Medeiros;Marcos;Medeiros;medeiros.marcos@yahoo.com;Female;29;Rio de Janeiro;Técnico de informática;autoguiado;1,64;66,2;A pe;Astorga;17;12;19/12/2017;05/01/2018;2358;1,00;2351,43;Standard;8;sim;sim;sim;não;Aventura
688;Luciano Barros;Luciano;Barros;lucianobarros78@yahoo.com;Male;55;Belo Horizonte;Vendedor;guiado;1,77;82,9;A pe;Astorga;17;12;23/08/2023;09/09/2023;2065;0,99;2050,49;Superior;10;sim;sim;sim;sim;Aventura
717;Gustavo Andrade;Gustavo;Andrade;gustavoandrade19@hotmail.com;Genderfluid;43;Campinas;Motorista;autoguiado;1,66;75,6;A pe;Astorga;17;12;01/09/2026;18/09/2026;2261;1,19;2695,22;Standard;7;sim;sim;sim;sim;Espiritual
719;Juliana Andrade;Juliana;Andrade;juliana.andrade@gmail.com;Male;24;Salvador;Programador;autoguiado;1,85;85,6;A pe;Astorga;17;12;29/12/2018;15/01/2019;1950;0,98;1912,85;Superior;5;sim;sim;sim;sim;Cultural
736;Gustavo Fernandes;Gustavo;Fernandes;gustavo.fernandes@yahoo.com;Female;38;Salvador;Engenheiro;autoguiado;2,06;102,4;A pe;Astorga;17;12;13/08/2017;30/08/2017;2328;1,34;3112,38;Standard;1;sim;sim;sim;sim;Cultural
738;Mariana Fernandes;Mariana;Fernandes;mariana_fernandes@hotmail.com;Male;67;Campinas;Engenheiro;grupo;1,97;89,3;A pe;Astorga;17;12;03/01/2020;20/01/2020;2438;1,21;2949,66;Superior;6;sim;não;sim;sim;Auto-conhecimento
